epoch,train_loss,frameacc,loc,recall_k1,prec_k1,f1_k1,far_k1,recall_k2,prec_k2,f1_k2,far_k2,recall_k3,prec_k3,f1_k3,far_k3,recall_k4,prec_k4,f1_k4,far_k4,recall_k5,prec_k5,f1_k5,far_k5
1,2.269266441065143,0.20506666666666667,0.27946273830155977,0.9310344827586207,0.5118483412322274,0.6605504587155964,0.944954128440367,0.8491379310344828,0.5077319587628866,0.635483870967742,0.8761467889908257,0.7629310344827587,0.49719101123595505,0.6020408163265306,0.8211009174311926,0.7198275862068966,0.5107033639143731,0.5974955277280859,0.7339449541284404,0.6594827586206896,0.5151515151515151,0.5784499054820416,0.6605504587155964
2,1.9313977112213003,0.2632,0.5025996533795494,0.9698275862068966,0.5136986301369864,0.6716417910447762,0.9770642201834863,0.9612068965517241,0.5162037037037037,0.6716867469879517,0.9587155963302753,0.9439655172413793,0.5177304964539007,0.6687022900763359,0.9357798165137615,0.9181034482758621,0.5195121951219512,0.6635514018691588,0.9036697247706422,0.8836206896551724,0.5189873417721519,0.6539074960127592,0.8715596330275229
3,1.8113956207375561,0.31733333333333336,0.5476603119584056,0.9870689655172413,0.5204545454545455,0.6815476190476191,0.9678899082568807,0.9655172413793104,0.5233644859813084,0.6787878787878787,0.9357798165137615,0.9396551724137931,0.5215311004784688,0.6707692307692308,0.9174311926605505,0.9008620689655172,0.5264483627204031,0.6645468998410176,0.8623853211009175,0.8491379310344828,0.5367847411444142,0.657762938230384,0.7798165137614679
4,1.699013046513033,0.32537777777777777,0.7339688041594454,0.9956896551724138,0.5144766146993318,0.6784140969162995,1.0,0.9956896551724138,0.5144766146993318,0.6784140969162995,1.0,0.9956896551724138,0.515625,0.6794117647058825,0.9954128440366973,0.9956896551724138,0.5167785234899329,0.6804123711340205,0.9908256880733946,0.9956896551724138,0.5179372197309418,0.6814159292035399,0.9862385321100917
5,1.600709762476137,0.34657777777777776,0.8175909878682842,1.0,0.5155555555555555,0.6803519061583577,1.0,1.0,0.5155555555555555,0.6803519061583577,1.0,0.9956896551724138,0.515625,0.6794117647058825,0.9954128440366973,0.9956896551724138,0.515625,0.6794117647058825,0.9954128440366973,0.9956896551724138,0.515625,0.6794117647058825,0.9954128440366973
6,1.5127142766153185,0.4197777777777778,0.628682842287695,0.978448275862069,0.5279069767441861,0.6858006042296072,0.9311926605504587,0.9741379310344828,0.5342789598108747,0.6900763358778625,0.9036697247706422,0.9612068965517241,0.5575,0.7056962025316454,0.8119266055045872,0.9310344827586207,0.5669291338582677,0.7047308319738989,0.7568807339449541,0.9008620689655172,0.5710382513661202,0.6989966555183945,0.7201834862385321
7,1.433527181386181,0.43204444444444445,0.792894280762565,0.9956896551724138,0.515625,0.6794117647058825,0.9954128440366973,0.9956896551724138,0.5179372197309418,0.6814159292035399,0.9862385321100917,0.9956896551724138,0.5214446952595937,0.6844444444444444,0.9724770642201835,0.9913793103448276,0.5251141552511416,0.6865671641791045,0.9541284403669725,0.9913793103448276,0.5324074074074074,0.6927710843373494,0.926605504587156
8,1.362716416006814,0.47226666666666667,0.550259965337955,0.9482758620689655,0.5759162303664922,0.7166123778501629,0.7431192660550459,0.9224137931034483,0.6350148367952523,0.7521968365553603,0.5642201834862385,0.9051724137931034,0.711864406779661,0.7969639468690702,0.38990825688073394,0.8577586206896551,0.7713178294573644,0.8122448979591836,0.2706422018348624,0.7844827586206896,0.8198198198198198,0.801762114537445,0.1834862385321101
9,1.3056647914271136,0.5108888888888888,0.6655112651646448,0.9956896551724138,0.5334872979214781,0.6947368421052631,0.926605504587156,0.9956896551724138,0.5675675675675675,0.7230046948356809,0.8073394495412844,0.9913793103448276,0.5927835051546392,0.7419354838709677,0.7247706422018348,0.9827586206896551,0.6298342541436464,0.7676767676767675,0.6146788990825688,0.9568965517241379,0.6646706586826348,0.784452296819788,0.5137614678899083
10,1.2499892397325523,0.5237333333333334,0.5693240901213171,0.978448275862069,0.6305555555555555,0.7668918918918919,0.6100917431192661,0.9698275862068966,0.677710843373494,0.7978723404255319,0.4908256880733945,0.9439655172413793,0.8021978021978022,0.8673267326732674,0.24770642201834864,0.9051724137931034,0.8571428571428571,0.880503144654088,0.16055045871559634,0.8362068965517241,0.9065420560747663,0.8699551569506727,0.09174311926605505
11,1.1984270383690714,0.5268,0.48396880415944543,0.9051724137931034,0.7023411371237458,0.7909604519774012,0.40825688073394495,0.8663793103448276,0.8104838709677419,0.8375,0.21559633027522937,0.8103448275862069,0.8703703703703703,0.8392857142857144,0.12844036697247707,0.728448275862069,0.9135135135135135,0.8105515587529977,0.07339449541284404,0.5948275862068966,0.9517241379310345,0.7320954907161804,0.03211009174311927
12,1.155008654566312,0.5548,0.7084055459272097,1.0,0.5321100917431193,0.6946107784431138,0.9357798165137615,0.9870689655172413,0.5518072289156627,0.7078825347758887,0.8532110091743119,0.9827586206896551,0.57,0.721518987341772,0.7889908256880734,0.9741379310344828,0.6158038147138964,0.7545909849749584,0.6467889908256881,0.9612068965517241,0.6353276353276354,0.7650085763293312,0.5871559633027523
13,1.115290746683732,0.5838666666666666,0.574523396880416,0.9827586206896551,0.6785714285714286,0.8028169014084507,0.4954128440366973,0.9655172413793104,0.7671232876712328,0.8549618320610687,0.3119266055045872,0.9568965517241379,0.891566265060241,0.923076923076923,0.12385321100917432,0.9051724137931034,0.9417040358744395,0.9230769230769231,0.05963302752293578,0.8146551724137931,0.9593908629441624,0.8811188811188811,0.03669724770642202
14,1.078020245379829,0.5676,0.7409012131715771,0.9827586206896551,0.5327102803738317,0.6909090909090909,0.9174311926605505,0.9827586206896551,0.5533980582524272,0.7080745341614907,0.8440366972477065,0.9827586206896551,0.59375,0.7402597402597402,0.7155963302752294,0.978448275862069,0.6202185792349727,0.7591973244147157,0.6376146788990825,0.9698275862068966,0.6484149855907781,0.7772020725388601,0.5596330275229358
15,1.041546650702036,0.5825333333333333,0.7149046793760832,0.9956896551724138,0.5448113207547169,0.7042682926829268,0.8853211009174312,0.9913793103448276,0.583756345177665,0.7348242811501597,0.7522935779816514,0.9870689655172413,0.6222826086956522,0.7633333333333334,0.6376146788990825,0.9827586206896551,0.6647230320699709,0.7930434782608696,0.5275229357798165,0.9525862068965517,0.7198697068403909,0.8200371057513914,0.3944954128440367
16,1.0107462507735494,0.5769777777777778,0.7270363951473137,0.9956896551724138,0.5435294117647059,0.7031963470319634,0.8899082568807339,0.9913793103448276,0.5778894472361809,0.7301587301587301,0.7706422018348624,0.9913793103448276,0.6233062330623306,0.7653910149750417,0.6376146788990825,0.9827586206896551,0.6785714285714286,0.8028169014084507,0.4954128440366973,0.9655172413793104,0.7296416938110749,0.8311688311688312,0.38073394495412843
17,0.9801496152325841,0.6171555555555556,0.688474870017331,0.9870689655172413,0.5886889460154242,0.7375201288244766,0.7339449541284404,0.9827586206896551,0.6422535211267606,0.776831345826235,0.5825688073394495,0.9698275862068966,0.7075471698113207,0.8181818181818181,0.42660550458715596,0.9482758620689655,0.7612456747404844,0.8445297504798465,0.3165137614678899,0.9137931034482759,0.8217054263565892,0.8653061224489796,0.21100917431192662
18,0.9502658012212281,0.6108,0.7525996533795494,1.0,0.5308924485125858,0.6935724962630792,0.9403669724770642,0.9956896551724138,0.5539568345323741,0.711864406779661,0.8532110091743119,0.9870689655172413,0.5902061855670103,0.7387096774193549,0.7293577981651376,0.978448275862069,0.628808864265928,0.7655986509274874,0.6146788990825688,0.9698275862068966,0.6736526946107785,0.795053003533569,0.5
19,0.9239558776858535,0.6167555555555555,0.7378682842287695,1.0,0.5631067961165048,0.7204968944099379,0.8256880733944955,1.0,0.6089238845144357,0.7569331158238173,0.6834862385321101,0.9956896551724138,0.6715116279069767,0.8020833333333334,0.518348623853211,0.9741379310344828,0.7290322580645161,0.8339483394833949,0.3853211009174312,0.9568965517241379,0.784452296819788,0.8621359223300971,0.2798165137614679
20,0.8966911374436569,0.6282666666666666,0.7690641247833622,1.0,0.5296803652968036,0.6925373134328358,0.944954128440367,1.0,0.5484633569739953,0.7083969465648856,0.8761467889908257,0.9956896551724138,0.5789473684210527,0.7321711568938194,0.7706422018348624,0.9913793103448276,0.6068601583113457,0.7528641571194762,0.6834862385321101,0.9698275862068966,0.6373937677053825,0.7692307692307692,0.5871559633027523
21,0.8699789308530597,0.6333333333333333,0.6256499133448874,0.9913793103448276,0.6804733727810651,0.8070175438596493,0.4954128440366973,0.978448275862069,0.7854671280276817,0.871401151631478,0.28440366972477066,0.9568965517241379,0.844106463878327,0.896969696969697,0.18807339449541285,0.9094827586206896,0.9017094017094017,0.9055793991416309,0.10550458715596331,0.8362068965517241,0.9509803921568627,0.8899082568807339,0.045871559633027525
22,0.8486002614004947,0.6448,0.7140381282495667,1.0,0.599483204134367,0.7495961227786753,0.7110091743119266,1.0,0.6744186046511628,0.8055555555555556,0.5137614678899083,0.9870689655172413,0.7508196721311475,0.8528864059590316,0.3486238532110092,0.9612068965517241,0.8079710144927537,0.8779527559055119,0.24311926605504589,0.9439655172413793,0.8656126482213439,0.9030927835051547,0.1559633027522936
23,0.824772290414297,0.6467555555555555,0.7534662045060658,1.0,0.5458823529411765,0.7062404870624048,0.8853211009174312,0.9956896551724138,0.5760598503740648,0.7298578199052134,0.7798165137614679,0.9956896551724138,0.6193029490616622,0.7636363636363636,0.6513761467889908,0.9827586206896551,0.6666666666666666,0.794425087108014,0.5229357798165137,0.9655172413793104,0.7133757961783439,0.8205128205128205,0.41284403669724773
24,0.8009156900011841,0.6763555555555556,0.7534662045060658,1.0,0.5658536585365853,0.7227414330218067,0.8165137614678899,1.0,0.6170212765957447,0.763157894736842,0.6605504587155964,1.0,0.6884272997032641,0.8154657293497364,0.481651376146789,0.9827586206896551,0.7676767676767676,0.8620037807183365,0.3165137614678899,0.9482758620689655,0.8178438661710037,0.8782435129740518,0.22477064220183487
